10
Reino Unido,Alemania,España,Ucrania,Italia,Francia,Bielorrusia,Suecia,Irlanda,Austria
0.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,343.000000,1073741824.000000,1435.000000,464.000000,1073741824.000000
1073741824.000000,0.000000,1073741824.000000,1073741824.000000,1073741824.000000,879.000000,954.000000,811.000000,1073741824.000000,524.000000
1073741824.000000,1073741824.000000,0.000000,1073741824.000000,1364.000000,1054.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000
1073741824.000000,1073741824.000000,1073741824.000000,0.000000,1073741824.000000,1073741824.000000,433.000000,1073741824.000000,1073741824.000000,1053.000000
1073741824.000000,1073741824.000000,1364.000000,1073741824.000000,0.000000,1106.000000,1073741824.000000,1073741824.000000,1073741824.000000,766.000000
343.000000,879.000000,1054.000000,1073741824.000000,1106.000000,0.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000
1073741824.000000,954.000000,1073741824.000000,433.000000,1073741824.000000,1073741824.000000,0.000000,837.000000,1073741824.000000,1073741824.000000
1435.000000,811.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,837.000000,0.000000,1073741824.000000,1073741824.000000
464.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,0.000000,1073741824.000000
1073741824.000000,524.000000,1073741824.000000,1053.000000,766.000000,1073741824.000000,1073741824.000000,1073741824.000000,1073741824.000000,0.000000
